Label,PRESSURE_ZONE,CATEGORY,PIPE_SIZE,MATERIAL,LINED,LINED_MATERIAL,ACQUISITION,OWNERSHIP,BRIDGE_MAIN,CRITICALITY,REL_CLEANING_AREA,REL_CLEANING_SUBAREA,Undersized,shallow_main,Condition_score,OVERSIZED,CLEANED,Shape__Length,Installation_Month,Installation_Year,Break_Time
0,KIT 2W,TREATED,200,PVCO,NO,NONE,DONATED,KITCHENER,N,5,5,44,N,N,9.35,N,N,1.64250820756936,10,2012,12.0
0,KIT 2W,TREATED,200,PVCO,NO,NONE,DONATED,KITCHENER,N,5,5,44,N,N,9.35,N,N,6.12098498896281,10,2012,12.0
0,KIT 5,TREATED,300,DI,NO,NONE,DONATED,KITCHENER,N,7,6,34,N,N,9.1,N,Y,83.9771247119747,2,1992,32.0
1,KIT 4,TREATED,150,CI,NO,NONE,DONATED,KITCHENER,N,7,4,13,N,N,5.85,N,N,174.212536875391,1,1966,47.0
0,KIT 2W,TREATED,300,PVCO,NO,NONE,DONATED,KITCHENER,N,6,5,44,N,N,9.35,N,N,66.6789574636604,1,2013,11.0
0,KIT 4,TREATED,600,CPP,NO,NONE,PURCHASED,REGION,N,6,5,3,N,N,9.15,N,N,49.2082918454048,10,1963,61.0
0,KIT 4,TREATED,200,PVC,NO,NONE,PURCHASED,KITCHENER,N,7,2,8,N,N,9.35,N,N,107.281416994016,1,2005,19.0
0,KIT 4,TREATED,300,DI,NO,NONE,PURCHASED,KITCHENER,N,7,3,13,N,N,9.1,N,N,66.1292692218084,1,1990,34.0
0,KIT 4,TREATED,600,CPP,NO,NONE,PURCHASED,REGION,N,6,1,1,N,N,9.15,N,N,213.312794273007,1,1966,58.0
0,KIT 4,TREATED,600,CPP,NO,NONE,PURCHASED,REGION,N,0,1,1,N,N,9.15,N,N,3.56759230858816,1,1966,58.0
0,KIT 6,TREATED,300,PVC,NO,NONE,DONATED,KITCHENER,N,7,6,34,N,N,9.35,N,Y,7.02226803180565,6,2007,17.0
0,KIT 4,TREATED,200,PVC,NO,NONE,PURCHASED,KITCHENER,N,6,3,14,N,N,9.35,N,N,134.737140852916,7,2015,9.0
1,KIT 4,TREATED,150,PVC,NO,NONE,PURCHASED,KITCHENER,N,7,1,16,N,N,6.95,N,N,74.7134278087095,7,2014,-16.0
0,KIT 4,TREATED,150,PVC,NO,NONE,PURCHASED,KITCHENER,N,7,1,16,N,N,9.35,N,N,14.3664271439187,7,2014,10.0
0,KIT 4,TREATED,150,PVC,NO,NONE,PURCHASED,KITCHENER,N,0,1,16,N,N,9.35,N,N,2.74214640400657,9,2014,10.0
0,KIT 6,TREATED,300,PVCO,NO,NONE,DONATED,KITCHENER,N,6,6,1,N,N,9.35,N,Y,1.3066973481292,9,2012,12.0
0,KIT 6,TREATED,300,PVCO,NO,NONE,DONATED,KITCHENER,N,6,6,1,N,N,9.35,N,Y,154.624674226339,9,2012,12.0
0,KIT 2W,TREATED,300,PVCO,NO,NONE,DONATED,KITCHENER,N,6,5,46,N,N,9.35,N,N,44.4432534603116,1,2013,11.0
0,KIT 4,TREATED,150,PVC,NO,NONE,PURCHASED,KITCHENER,N,5,2,13,N,N,9.35,N,N,105.99124490417,5,2012,12.0
1,KIT 5,TREATED,450,AC,NO,NONE,PURCHASED,REGION,N,6,3,0,N,Y,8.05,Y,N,162.775198110841,1,1952,69.0
1,KIT 4,TREATED,600,DI,NO,NONE,PURCHASED,DUAL CITY AND REGION,N,7,3,13,N,N,9.1,N,N,113.565630278385,1,1986,37.0
0,KIT 4,TREATED,300,PVC,NO,NONE,DONATED,KITCHENER,N,0,3,14,N,N,9.35,N,N,36.4778413972162,6,2000,24.0
0,KIT 4,TREATED,750,CPP,NO,NONE,PURCHASED,REGION,N,9,6,0,N,N,8.95,N,Y,5.91111967770102,1,1958,66.0
0,KIT 5,TREATED,900,CPP,NO,NONE,PURCHASED,REGION,N,7,6,19,N,N,9.35,N,Y,23.9690469791085,1,1990,34.0
0,KIT 6,TREATED,450,PVC,NO,NONE,PURCHASED,REGION,N,7,6,0,N,N,9.35,N,Y,167.54175699163,2,2009,15.0
0,KIT 4,TREATED,300,DI,NO,NONE,PURCHASED,KITCHENER,N,0,1,16,N,N,9.1,N,N,3.64017872735206,10,1991,33.0
0,KIT 4,TREATED,300,DI,NO,NONE,PURCHASED,KITCHENER,N,7,1,16,N,N,9.1,N,N,6.85961822818868,10,1991,33.0
0,KIT 4,TREATED,200,PVCO,NO,NONE,DONATED,KITCHENER,N,5,4,0,N,N,9.35,N,Y,62.6229732262144,1,2014,10.0
0,KIT 2W,TREATED,300,PVC,NO,NONE,DONATED,KITCHENER,N,6,5,39,N,N,9.35,N,N,214.767862532601,8,1997,27.0
0,KIT 4,TREATED,300,DI,NO,NONE,DONATED,KITCHENER,N,7,4,32,N,N,9.1,N,Y,64.3943355213141,1,1995,29.0
0,KIT 4A,TREATED,200,PVC,NO,NONE,DONATED,KITCHENER,N,6,2,43,N,N,9.35,N,N,179.618234949343,6,2000,24.0
0,KIT 4A,TREATED,200,PVC,NO,NONE,DONATED,KITCHENER,N,5,2,42,N,N,9.35,N,N,66.4649175142762,6,2000,24.0
0,KIT 4A,TREATED,200,PVC,NO,NONE,DONATED,KITCHENER,N,6,2,42,N,N,9.35,N,N,64.452577862071,6,2000,24.0
0,KIT 4A,TREATED,200,PVC,NO,NONE,DONATED,KITCHENER,N,6,2,43,N,N,9.35,N,N,13.5444008216103,6,2000,24.0
0,KIT 4A,TREATED,150,PVC,NO,NONE,DONATED,KITCHENER,N,5,2,42,N,N,9.35,N,N,30.6238461845187,6,2000,24.0
0,KIT 4A,TREATED,150,PVC,NO,NONE,DONATED,KITCHENER,N,5,2,43,N,N,9.35,N,N,11.7553096636963,6,2000,24.0
0,KIT 4,TREATED,300,PVC,NO,NONE,PURCHASED,KITCHENER,N,7,2,21,N,N,9.35,N,N,47.120606347094,7,1998,26.0
0,KIT 2W,TREATED,150,DI,NO,NONE,PURCHASED,KITCHENER,N,6,5,34,N,N,9.1,N,N,0.960426999304639,9,1992,32.0
0,KIT 4,TREATED,300,DI,NO,NONE,DONATED,KITCHENER,N,6,5,6,N,N,9.1,N,N,188.832644583088,1,1991,33.0
1,KIT 2W,TREATED,100,DI,NO,NONE,DONATED,KITCHENER,N,7,5,31,N,N,6.9,N,N,113.730410305163,1,1976,43.0
1,KIT 4,TREATED,600,PVC,NO,NONE,PURCHASED,REGION,N,8,2,24,N,N,8.15,N,N,154.393527846036,2,2008,-3.0
0,KIT 4,TREATED,150,PVC,NO,NONE,PURCHASED,KITCHENER,N,8,2,9,N,N,9.35,N,N,2.27129825157365,8,2010,14.0
0,KIT 4,TREATED,200,PVC,NO,NONE,DONATED,KITCHENER,N,6,4,0,N,N,9.35,N,Y,8.00923121588568,6,2007,17.0
0,KIT 4,TREATED,300,PVC,NO,NONE,PURCHASED,KITCHENER,N,6,3,22,N,N,9.35,N,N,129.95007656899,11,2012,12.0
0,KIT 4,TREATED,200,PVC,NO,NONE,PURCHASED,KITCHENER,N,6,3,20,N,N,9.35,N,N,1.01136377199786,6,2011,13.0
0,KIT 5,TREATED,400,CI,NO,NONE,PURCHASED,REGION,N,7,6,31,N,N,7.85,N,Y,1.93629787176282,1,1963,61.0
0,KIT 4,UNTREATED,450,PVC,NO,NONE,PURCHASED,REGION,N,0,1,24,N,N,9.35,N,N,0.277382227389768,12,2009,15.0
0,KIT 4,TREATED,300,DI,NO,NONE,PURCHASED,KITCHENER,N,7,2,25,N,N,9.1,N,N,0.910391370171332,1,1990,34.0
0,KIT 4,TREATED,750,CPP,NO,NONE,DONATED,REGION,N,9,6,0,N,N,8.95,N,Y,44.6449800118338,1,1958,66.0
0,KIT 4,TREATED,300,PVC,NO,NONE,PURCHASED,KITCHENER,N,7,2,31,N,N,9.35,N,N,10.5373075071242,10,2002,22.0
0,KIT 4,TREATED,200,PVC,NO,NONE,PURCHASED,KITCHENER,N,7,2,18,N,N,9.35,N,N,138.193792959036,9,2010,14.0
0,KIT 4,TREATED,150,PVC,NO,NONE,PURCHASED,KITCHENER,N,7,2,24,N,N,9.35,N,N,125.068459996374,9,2008,16.0
0,KIT 5,TREATED,300,PVC,NO,NONE,PURCHASED,REGION,N,7,6,41,N,N,9.35,N,Y,168.540968168017,6,2002,22.0
0,KIT 2W,TREATED,300,PVC,NO,NONE,DONATED,KITCHENER,N,0,5,41,N,N,9.35,N,N,2.79845983601083,6,2006,18.0
0,KIT 4,TREATED,300,PVC,NO,NONE,DONATED,KITCHENER,N,7,4,31,N,N,9.35,N,Y,7.53284468241551,6,2003,21.0
